json_path,img_file_from_json,img_key,num_anns_in_json,category_ids,category_names,has_image_match,matched_img_path
../data/train_annotations/K-003351-016232-033880_json/K-003351/K-003351-016232-033880_0_2_0_2_75_000_200.json,K-003351-016232-033880_0_2_0_2_75_000_200.png,K-003351-016232-033880_0_2_0_2_75_000_200,1,[3350],['일양하이트린정 2mg'],True,../data/train_images/K-003351-016232-033880_0_2_0_2_75_000_200.png
../data/train_annotations/K-003351-016232-033880_json/K-003351/K-003351-016232-033880_0_2_0_2_90_000_200.json,K-003351-016232-033880_0_2_0_2_90_000_200.png,K-003351-016232-033880_0_2_0_2_90_000_200,1,[3350],['일양하이트린정 2mg'],False,
../data/train_annotations/K-003351-016232-033880_json/K-003351/K-003351-016232-033880_0_2_0_2_70_000_200.json,K-003351-016232-033880_0_2_0_2_70_000_200.png,K-003351-016232-033880_0_2_0_2_70_000_200,1,[3350],['일양하이트린정 2mg'],False,
../data/train_annotations/K-003351-016232-033880_json/K-016232/K-003351-016232-033880_0_2_0_2_75_000_200.json,K-003351-016232-033880_0_2_0_2_75_000_200.png,K-003351-016232-033880_0_2_0_2_75_000_200,1,[16231],['리피토정 20mg'],True,../data/train_images/K-003351-016232-033880_0_2_0_2_75_000_200.png
../data/train_annotations/K-003351-016232-033880_json/K-016232/K-003351-016232-033880_0_2_0_2_70_000_200.json,K-003351-016232-033880_0_2_0_2_70_000_200.png,K-003351-016232-033880_0_2_0_2_70_000_200,1,[16231],['리피토정 20mg'],False,
../data/train_annotations/K-003351-016232-033880_json/K-033880/K-003351-016232-033880_0_2_0_2_75_000_200.json,K-003351-016232-033880_0_2_0_2_75_000_200.png,K-003351-016232-033880_0_2_0_2_75_000_200,1,[33879],['글리틴정(콜린알포세레이트)'],True,../data/train_images/K-003351-016232-033880_0_2_0_2_75_000_200.png
../data/train_annotations/K-003351-016232-033880_json/K-033880/K-003351-016232-033880_0_2_0_2_90_000_200.json,K-003351-016232-033880_0_2_0_2_90_000_200.png,K-003351-016232-033880_0_2_0_2_90_000_200,1,[33879],['글리틴정(콜린알포세레이트)'],False,
../data/train_annotations/K-003351-035206-041768_json/K-003351/K-003351-035206-041768_0_2_0_2_90_000_200.json,K-003351-035206-041768_0_2_0_2_90_000_200.png,K-003351-035206-041768_0_2_0_2_90_000_200,1,[3350],['일양하이트린정 2mg'],True,../data/train_images/K-003351-035206-041768_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-035206-041768_json/K-003351/K-003351-035206-041768_0_2_0_2_75_000_200.json,K-003351-035206-041768_0_2_0_2_75_000_200.png,K-003351-035206-041768_0_2_0_2_75_000_200,1,[3350],['일양하이트린정 2mg'],False,
../data/train_annotations/K-003351-035206-041768_json/K-041768/K-003351-035206-041768_0_2_0_2_70_000_200.json,K-003351-035206-041768_0_2_0_2_70_000_200.png,K-003351-035206-041768_0_2_0_2_70_000_200,1,[41767],['카발린캡슐 25mg'],True,../data/train_images/K-003351-035206-041768_0_2_0_2_70_000_200.png
../data/train_annotations/K-003351-035206-041768_json/K-041768/K-003351-035206-041768_0_2_0_2_90_000_200.json,K-003351-035206-041768_0_2_0_2_90_000_200.png,K-003351-035206-041768_0_2_0_2_90_000_200,1,[41767],['카발린캡슐 25mg'],True,../data/train_images/K-003351-035206-041768_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-035206-041768_json/K-035206/K-003351-035206-041768_0_2_0_2_70_000_200.json,K-003351-035206-041768_0_2_0_2_70_000_200.png,K-003351-035206-041768_0_2_0_2_70_000_200,1,[35205],['아토젯정 10/40mg'],True,../data/train_images/K-003351-035206-041768_0_2_0_2_70_000_200.png
../data/train_annotations/K-003351-035206-041768_json/K-035206/K-003351-035206-041768_0_2_0_2_90_000_200.json,K-003351-035206-041768_0_2_0_2_90_000_200.png,K-003351-035206-041768_0_2_0_2_90_000_200,1,[35205],['아토젯정 10/40mg'],True,../data/train_images/K-003351-035206-041768_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-013900-029667_json/K-003351/K-003351-013900-029667_0_2_0_2_70_000_200.json,K-003351-013900-029667_0_2_0_2_70_000_200.png,K-003351-013900-029667_0_2_0_2_70_000_200,1,[3350],['일양하이트린정 2mg'],True,../data/train_images/K-003351-013900-029667_0_2_0_2_70_000_200.png
../data/train_annotations/K-003351-013900-029667_json/K-003351/K-003351-013900-029667_0_2_0_2_90_000_200.json,K-003351-013900-029667_0_2_0_2_90_000_200.png,K-003351-013900-029667_0_2_0_2_90_000_200,1,[3350],['일양하이트린정 2mg'],True,../data/train_images/K-003351-013900-029667_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-013900-029667_json/K-029667/K-003351-013900-029667_0_2_0_2_75_000_200.json,K-003351-013900-029667_0_2_0_2_75_000_200.png,K-003351-013900-029667_0_2_0_2_75_000_200,1,[29666],['리바로정 4mg'],False,
../data/train_annotations/K-003351-013900-029667_json/K-029667/K-003351-013900-029667_0_2_0_2_70_000_200.json,K-003351-013900-029667_0_2_0_2_70_000_200.png,K-003351-013900-029667_0_2_0_2_70_000_200,1,[29666],['리바로정 4mg'],True,../data/train_images/K-003351-013900-029667_0_2_0_2_70_000_200.png
../data/train_annotations/K-003351-013900-029667_json/K-029667/K-003351-013900-029667_0_2_0_2_90_000_200.json,K-003351-013900-029667_0_2_0_2_90_000_200.png,K-003351-013900-029667_0_2_0_2_90_000_200,1,[29666],['리바로정 4mg'],True,../data/train_images/K-003351-013900-029667_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-013900-029667_json/K-013900/K-003351-013900-029667_0_2_0_2_70_000_200.json,K-003351-013900-029667_0_2_0_2_70_000_200.png,K-003351-013900-029667_0_2_0_2_70_000_200,1,[13899],['에빅사정(메만틴염산염)(비매품)'],True,../data/train_images/K-003351-013900-029667_0_2_0_2_70_000_200.png
../data/train_annotations/K-003351-013900-029667_json/K-013900/K-003351-013900-029667_0_2_0_2_90_000_200.json,K-003351-013900-029667_0_2_0_2_90_000_200.png,K-003351-013900-029667_0_2_0_2_90_000_200,1,[13899],['에빅사정(메만틴염산염)(비매품)'],True,../data/train_images/K-003351-013900-029667_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-016688-020014_json/K-020014/K-003351-016688-020014_0_2_0_2_90_000_200.json,K-003351-016688-020014_0_2_0_2_90_000_200.png,K-003351-016688-020014_0_2_0_2_90_000_200,1,[20013],['마도파정'],True,../data/train_images/K-003351-016688-020014_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-016688-020014_json/K-003351/K-003351-016688-020014_0_2_0_2_70_000_200.json,K-003351-016688-020014_0_2_0_2_70_000_200.png,K-003351-016688-020014_0_2_0_2_70_000_200,1,[3350],['일양하이트린정 2mg'],False,
../data/train_annotations/K-003351-016688-020014_json/K-003351/K-003351-016688-020014_0_2_0_2_90_000_200.json,K-003351-016688-020014_0_2_0_2_90_000_200.png,K-003351-016688-020014_0_2_0_2_90_000_200,1,[3350],['일양하이트린정 2mg'],True,../data/train_images/K-003351-016688-020014_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-016688-020014_json/K-003351/K-003351-016688-020014_0_2_0_2_75_000_200.json,K-003351-016688-020014_0_2_0_2_75_000_200.png,K-003351-016688-020014_0_2_0_2_75_000_200,1,[3350],['일양하이트린정 2mg'],False,
../data/train_annotations/K-003351-016688-020014_json/K-016688/K-003351-016688-020014_0_2_0_2_90_000_200.json,K-003351-016688-020014_0_2_0_2_90_000_200.png,K-003351-016688-020014_0_2_0_2_90_000_200,1,[16687],['오마코연질캡슐(오메가-3-산에틸에스테르90)'],True,../data/train_images/K-003351-016688-020014_0_2_0_2_90_000_200.png
../data/train_annotations/K-003351-016688-020014_json/K-016688/K-003351-016688-020014_0_2_0_2_75_000_200.json,K-003351-016688-020014_0_2_0_2_75_000_200.png,K-003351-016688-020014_0_2_0_2_75_000_200,1,[16687],['오마코연질캡슐(오메가-3-산에틸에스테르90)'],False,
../data/train_annotations/K-001900-016548-019607-029451_json/K-016548/K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,K-001900-016548-019607-029451_0_2_0_2_70_000_200,1,[16547],['가바토파정 100mg'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_70_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-016548/K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,K-001900-016548-019607-029451_0_2_0_2_90_000_200,1,[16547],['가바토파정 100mg'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_90_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-016548/K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,K-001900-016548-019607-029451_0_2_0_2_75_000_200,1,[16547],['가바토파정 100mg'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_75_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-001900/K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,K-001900-016548-019607-029451_0_2_0_2_70_000_200,1,[1899],['보령부스파정 5mg'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_70_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-001900/K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,K-001900-016548-019607-029451_0_2_0_2_90_000_200,1,[1899],['보령부스파정 5mg'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_90_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-001900/K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,K-001900-016548-019607-029451_0_2_0_2_75_000_200,1,[1899],['보령부스파정 5mg'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_75_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-029451/K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,K-001900-016548-019607-029451_0_2_0_2_70_000_200,1,[29450],['레일라정'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_70_000_200.png
../data/train_annotations/K-001900-016548-019607-029451_json/K-029451/K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,K-001900-016548-019607-029451_0_2_0_2_90_000_200,1,[29450],['레일라정'],True,../data/train_images/K-001900-016548-019607-029451_0_2_0_2_90_000_200.png
